,0
2020-01-05,47.8
2020-01-12,39.857142857142854
2020-01-19,43.857142857142854
2020-01-26,52.142857142857146
2020-02-02,51.714285714285715
2020-02-09,43.714285714285715
2020-02-16,39.142857142857146
2020-02-23,38.714285714285715
2020-03-01,43.0
2020-03-08,50.857142857142854
2020-03-15,41.42857142857143
2020-03-22,55.142857142857146
2020-03-29,55.142857142857146
2020-04-05,51.285714285714285
2020-04-12,47.857142857142854
2020-04-19,48.285714285714285
2020-04-26,46.285714285714285
2020-05-03,46.714285714285715
2020-05-10,45.0
2020-05-17,48.857142857142854
2020-05-24,44.42857142857143
2020-05-31,53.57142857142857
2020-06-07,48.57142857142857
2020-06-14,51.714285714285715
2020-06-21,51.285714285714285
2020-06-28,51.42857142857143
2020-07-05,49.714285714285715
2020-07-12,55.285714285714285
2020-07-19,53.714285714285715
2020-07-26,51.0
2020-08-02,63.42857142857143
2020-08-09,65.28571428571429
2020-08-16,52.714285714285715
2020-08-23,52.42857142857143
2020-08-30,61.714285714285715
2020-09-06,59.57142857142857
2020-09-13,57.0
2020-09-20,58.142857142857146
2020-09-27,61.42857142857143
2020-10-04,42.42857142857143
2020-10-11,48.285714285714285
2020-10-18,53.285714285714285
2020-10-25,56.857142857142854
2020-11-01,56.857142857142854
2020-11-08,54.714285714285715
2020-11-15,57.0
2020-11-22,62.285714285714285
2020-11-29,57.142857142857146
2020-12-06,51.142857142857146
2020-12-13,50.42857142857143
2020-12-20,55.0
2020-12-27,44.714285714285715
2021-01-03,55.25
